Round,ID,TITLE,ABSTRACT,KEYWORDS,YEAR,SOURCE TITLE,DOCUMENT TYPE,Research Type,SWEBOK
1,SCP0197,A Preliminary Study on Generating Well-Formed Q# Quantum Programs for Fuzz Testing,"Generative Sequence-To-Sequence models have been proposed for the task of generating well-formed programs, an important task for fuzz testing tools such as compilers. In this paper, we propose a Sequence-to-Sequence model to generate well-formed Q# Quantum programs. The ratio of syntactically valid programs among 1,000 Q# files generated by our model is 79.6%. In addition, we also contribute with a dataset of 1,723 Q# files taken from publicly available repositories on GitHub, which can be used by the growing community of Quantum Software Engineering.  © 2022 IEEE.",Fuzz Testing; Machine Learning; Quantum Software Engineering; Sequence-to-Sequence Models,2022,International Conference on Software Testing,Conference Paper,Proposal of solution,Software Testing
1,SCP0199,A quantum algorithm for software engineering search,"Quantum computers can solve a few basic problems, such as factoring an integer and searching a database, much faster than classical computers. However, the complexity of software artifacts, and the types of questions software engineers ask about them, pose significant challenges for applying existing quantum approaches to software engineering search (SES) problems. This paper first describes a new quantum search algorithm, IDGS-FA, whose design is motivated by the characteristics of SES problems. Next, it describes how to apply quantum searching to three SES problems: FSM property checking, software test generation, and library-based software synthesis. Next, the paper gives the main ideas in QSAT, a novel toolkit supporting efficient simulation of the algorithms and applications discussed. Finally, it concludes with a substantial simulation-based study of IDGS-FA, showing that it improves both the reliability and speed of other approaches. © 2009 IEEE.",Modeling; Quantum computing; Search algorithm; Simulation; Synthesis; Validation; Verification,2009,International Conference on Automated Software Engineering,Conference Paper,Opinion papers,Software Engineering Models and Methods
1,SCP0967,A quantum-based approach to error in software development effort estimation,"Error in Software Development Effort Estimation is often investigated in order to adjust effort estimation technique results. The aim of this paper is to propose a quantum-based approach in order to deal with model error whatever the effort estimation technique used. To achieve this objective, we explored the Quantum Theory and proposed a model based on an analogy with the infinite potential well problem. In order to evaluate the performance of our approach, we assess the Classical Analogy based effort estimation technique on the COCOMO'81 dataset. The main findings are: (1) the proposed approach confidence intervals are close to the theoretical ones and (2) the Sine-squared distribution of effort represents an interesting alternative to the widely used Gaussian distribution since both distributions are statically comparable. These results give an interesting track for further researches and investigations. © 2017 IEEE.",Deviation; Infinite potential well; Model Error; Quantum Theory; Software effort estimation,2017,"International Conference on Control, Decision and Information Technologies",Conference Paper,Proposal of solution,Software Quality
1,SCP0039,A roadmap for quantum software engineering: Applying the lessons learned from the classics,"Quantum Computing is one of the emerging areas of computing that currently generates more expectations. However, there are many doubts about its actual future projection. On the one hand, the industry shows reluctance to invest in it. The main reasons are the high costs of the hardware, together with the fact that current commercial quantum computers offer a potential that goes little beyond experimentation. On the other hand, there is controversy in the research community about the feasibility of creating and programming powerful and reliable quantum computers. The possibility of having reliable hardware with a reasonable number of Qubits seems still distant. Finally, current quantum programming tools are still at almost logic gate level, which limits the possibility of creating real complex quantum software systems. If we look back in time, this situation is reminiscent of the Software Crisis experienced by classical computing in the 60’s. This talk starts from this analogy and, analyzing the advances and the lessons learned in the field of Software Engineering in the last 60 years, raises the directions that could help to develop the future Quantum Software Engineering. © 2020 Copyright for this paper by its authors.",Future quantum software engineering; Quantum computing; Quantum software crisis,2020,International Workshop on Quantum Software Engineering and Technology,Conference Paper,Opinion papers,The Software Engineering in General
1,SCP0494,A Software Development Kit and Translation Layer for Executing Intel 8080 Assembler on a Quantum Computer (August 2022),"One of the major obstacles to the adoption of quantum computing is the requirement to define quantum circuits at the quantum gate level. Many programmers are familiar with high-level or low-level programming languages but not quantum gates nor the low-level quantum logic required to derive useful results from quantum computers. The steep learning curve involved when progressing from quantum gates to complex simulations such as Shor's algorithm has proven too much for many developers. The purpose of this article and the software presented within addresses this challenge by providing a Software Development Kit (SDK), translation layer, emulator, and a framework of techniques for executing Intel 8080/Z80 assembler on a quantum computer, i.e., all salient points of CPU execution, logic, arithmetic, and bitwise manipulation will be executed on the quantum computer using quantum circuits. This provides a novel means of displaying the equivalency and interoperability of quantum and classical computers. Developers and researchers can use the SDK to write code in Intel 8080/Z80 assembler which is executed locally via traditional emulation and remotely on a quantum computer in parallel. The emulator features side-by-side code execution with visibility of the running quantum circuit and reusable/overridable methods. This enables programmers to learn, reuse, and contrast techniques for performing any traditional CPU-based technique/instruction on a quantum computer, e.g., a programmer may know how to multiply and perform checks on a classical CPU but is not able to perform the same tasks in a quantum implementation, and this SDK allows the programmer to pick and choose the methods they would like to use to fulfil their requirements. The SDK makes use of open-source software, specifically Python and Qiskit for the emulation, translation, API calls, and execution of user-supplied code or binaries.  © 2020 IEEE.",Emulation; macro and assembly languages; processors; Qiskit; quantum computing; quantum gates; translation,2022,Transactions on Quantum Engineering,Article,Evaluation research,Software Construction
1,SCP0068,A software methodology for compiling quantum programs,"Quantum computers promise to transform our notions of computation by offering a completely new paradigm. To achieve scalable quantum computation, optimizing compilers and a corresponding software design flow will be essential. We present a software architecture for compiling quantum programs from a high-level language program to hardware-specific instructions. We describe the necessary layers of abstraction and their differences and similarities to classical layers of a computer-aided design flow. For each layer of the stack, we discuss the underlying methods for compilation and optimization. Our software methodology facilitates more rapid innovation among quantum algorithm designers, quantum hardware engineers, and experimentalists. It enables scalable compilation of complex quantum algorithms and can be targeted to any specific quantum hardware implementation. © 2018 IOP Publishing Ltd.",quantum compiler; quantum computing; quantum programming language,2018,Quantum Science and Technology,Article,Proposal of solution,Software Construction
1,SCP0287,A software product line approach for developing hybrid software systems,"Context: Quantum computing is rapidly emerging as a transformative force in technology. We will soon increasingly encounter hybrid systems that combine quantum technology with classical software. Software engineering techniques will be required to manage the complexity of designing such systems and their reuse. Objective: This paper introduces preliminary ideas concerning developing quantum–classical software using a Software Product Line approach. Method: This approach addresses the mentioned challenges and provides a feature model and a whole process to manage variability during the design and development of hybrid quantum–classical software. The usage of this approach is illustrated and discussed using an example in the logistics domain. Results: The preliminary insights show the feasibility and suitability of applying the proposed approach to develop complex quantum–classical software. Conclusions: The main implication of this research is that it can help to manage complexity, maximize the reuse of classical and quantum software components, and deal with the highly changing technological stack in the current quantum computing field. © 2024",Feature modeling; Hybrid systems; Quantum computing; Software product lines; Variability,2025,Information and Software Technology,Article,Proposal of solution,Software Design
1,WOS0072,A Strategy of Dynamic Random Testing with Hybrid Distance Metrics for Quantum Programs,"Quantum Computing (QC) leverages quantum mechanics to manipulate quantum information, holding greater potential than classical computing. To fully exploit QC's potential, it is crucial to ensure the reliability and quality of quantum programs. Research on quantum program testing is still at its early stage, in which some distinctive features of quantum programs, e.g., superposition and entanglement, may be overlooked, and the fault detection capability and testing effectiveness are rather limited. Besides, the input space of quantum programs may exponentially grow when the number of qubits increases, posing great challenges to testing quantum programs. It is imperative to develop a proper testing strategy to effectively select the potential failure-causing test cases and detect faults faster. In this paper, test cases with both basis states and superposition ones are considered and generated to cover more input space. A hybrid distance measurement method based on quantum fidelity and Hamming distance is presented for measuring the similarity among quantum test cases. Furthermore, a Dynamic Random Testing strategy based on Hybrid distance metrics (DRT-H) for quantum programs is proposed, which combines the hybrid distance metrics and the feedback mechanism of the classical Dynamic Random Testing (DRT) strategy to adjust the testing profile and guide the test case selection. Experimental studies demonstrate that the proposed DRT-H strategy outperforms the baseline testing strategies in most cases.",Dynamic random testing; quantum program testing; hybrid distance metrics; superposition; software cybernetics; S-ADA,2024,"International Conference on Software Quality, Reability and Security",Conference Paper,Evaluation research,Software Testing
1,SCP0310,A survey on Cryptoagility and Agile Practices in the light of quantum resistance,"Context: Crypto-agility, a name that stems from agile methodologies for software development, means the ability to modify quickly and securely cryptographic algorithms in the event of a compromise. The advent of quantum computing poses existential threats to current cryptography, having the power to breach current cryptography systems. Objective: We investigated whether and to what extent agile practices for software development are suited to support crypto-agility, or not. In particular, we discuss their usefulness in the context of substituting current algorithms with quantum-resistant ones. Method: First, we analyzed the literature to define a subset of 15 agile practices potentially relevant to cryptographic software development. Then, we developed a questionnaire to assess the suitability of agile practices for obtaining crypto-agility. We performed a Web search of relevant documents about crypto-agility and quantum resistance and sent their authors the questionnaire. We also sent the questionnaire to cybersecurity officers of four Italian firms. We analyzed and discussed the responses to 32 valid questionnaires. Results: The respondents’ affiliations are evenly distributed between researchers and developers. Most of them are active, or somehow active, in quantum-resistant cryptography and use agile methods. Most of the agile practices are deemed to be quite useful, or very useful to get crypto-agility, the most effective being Continuous Integration and Coding Standards; the least appreciated is Self-organizing Team. Conclusion: According to researchers and developers working in the field, the safe transition of cryptographic algorithms to quantum-resistant ones can benefit from the adoption of many agile practices. Further software engineering research is needed to integrate agile practices in more formal cryptographic software development processes. © 2024 The Authors",Agile methods; Cryptographic agility; Cryptographic algorithms; Quantum resistance,2025,Information and Software Technology,Article,Evaluation research,Software Security
1,SCP0088,A systematic decision-making framework for tackling quantum software engineering challenges,"Quantum computing systems harness the power of quantum mechanics to execute computationally demanding tasks more effectively than their classical counterparts. This has led to the emergence of Quantum Software Engineering (QSE), which focuses on unlocking the full potential of quantum computing systems. As QSE gains prominence, it seeks to address the evolving challenges of quantum software development by offering comprehensive concepts, principles, and guidelines. This paper aims to identify, prioritize, and develop a systematic decision-making framework of the challenging factors associated with QSE process execution. We conducted a literature survey to identify the challenging factors associated with QSE process and mapped them into 7 core categories. Additionally, we used a questionnaire survey to collect insights from practitioners regarding these challenges. To examine the relationships between core categories of challenging factors, we applied Interpretive Structure Modeling (ISM). Lastly, we applied fuzzy TOPSIS to rank the identified challenging factors concerning to their criticality for QSE process. We have identified 22 challenging factors of QSE process and mapped them to 7 core categories. The ISM results indicate that the ‘resources’ category has the most decisive influence on the other six core categories of the identified challenging factors. Moreover, the fuzzy TOPSIS indicates that ‘complex programming’, ‘limited software libraries’, ‘maintenance complexity’, ‘lack of training and workshops’, and ‘data encoding issues’ are the highest priority challenging factor for QSE process execution. Organizations using QSE could consider the identified challenging factors and their prioritization to improve their QSE process. © 2023, The Author(s).",Challenging factors; Prioritization; Quantum computing; Quantum software engineering (QSE),2023,Automated Software Engineering,Article,Evaluation research,Software Design
1,SCP0062,A Testing Pipeline for Quantum Computing Applications,"As the scientific community is increasing the coverage of the quantum computing domain ranging from theoretical physics to financial applications, so does the number of quantum computing applications being developed for quantum computing hardware that is available today. As this hardware evolves towards increased capacity in terms of qubit number and increased fidelity, so does the complexity of quantum computing applications that implement the state-of-the-art of (hybrid) quantum algorithms. With this comes an increased demand for quantum software engineering practices where testing is a crucial part of the development process. Hence, a robust approach that addresses certain challenges and peculiarities related to the quantum computing domain is needed for the testing process. This paper proposes a standard-ready testing pipeline that covers the requirements of testing in a continuous development cycle as part of a modern quantum software engineering lifecycle. © 2023 IEEE.",Debugging; NISQ; Quantum computing; Quantum Software Engineering; Testing,2023,International Conference on Quantum Software,Conference Paper,Proposal of solution,Software Testing
1,SCP0245,A Tool For Debugging Quantum Circuits,"As the scale of quantum programs grows to match that of classical software, the nascent field of quantum software engineering must mature and tools such as debuggers will become increasingly important. However, developing a quantum debugger is challenging due to the nature of a quantum computer; sneaking a peek at the value of a quantum state will cause either partial or complete collapse of the superposition and may destroy the necessary entanglement. As a first step to developing a full quantum circuit debugger, we have designed and implemented a quantum circuit debugging tool. The tool allows the user to divide the circuit vertically or horizontally into smaller chunks known as slices, and manage their simulation or execution for either interactive debugging or automated testing. The tool also enables developers to track gates within the overall circuit and each chunk to understand their behavior better. Feedback on usefulness and usability from early users shows that using the tool to slice and test their circuits has helped make the debugging process more time-efficient for them.  © 2022 IEEE.",Debugging; Quantum circuits; Quantum Software,2022,International Conference on Quantum Computing and Engineering,Conference Paper,Proposal of solution,Software Testing
1,SCP0261,A tool for quantum software evolution,"Quantum computing has been growing drastically for the last year due to all the possible applications that this new paradigm brings as well as its incomparable computational power. Therefore, the new information systems that will be developed in a future might be influenced by this paradigm. However, discarding the legacy information systems is not an option if those systems embed mission-critical knowledge over time. Furthermore, quantumfy every business process does not make sense because the high cost that it requires. This is why, in a future, organizations will adapt their classical information systems with new quantum applications, evolving their legacy information systems into hybrid information system. To accomplish this evolution, this paper proposes a technique of software modernization using model-driven engineering based on the Knowledge Discovery Metamodel (KDM) standard. © 2020 Copyright for this paper by its authors.",KDM; Q#; Quantum computing; Reengineering; Reverse engineering,2020,International Workshop on Quantum Software Engineering and Technology,Conference Paper,Proposal of solution,Software Maintenance
1,SCP0296,A Uniform Representation of Classical and Quantum Source Code for Static Code Analysis,"The emergence of quantum computing raises the question of how to identify (security-relevant) programming errors during development. However, current static code analysis tools fail to model information specific to quantum computing. In this paper, we identify this information and propose to extend classical code analysis tools accordingly. Among such tools, we identify the Code Property Graph to be very well suited for this task as it can be easily extended with quantum computing specific information. For our proof of concept, we implemented a tool which includes information from the quantum world in the graph and demonstrate its ability to analyze source code written in Qiskit and OpenQASM. Our tool brings together the information from the classical and quantum world, enabling analysis across both domains. By combining all relevant information into a single detailed analysis, this powerful tool can facilitate tackling future quantum source code analysis challenges. © 2023 IEEE.",quantum code property graph; quantum source code analysis; software security; static code analysis,2023,International Conference on Quantum Computing and Engineering,Conference Paper,Proposal of solution,Software Engineering Models and Methods
1,SCP0123,A Workflow for the Continuous Deployment of Quantum Services,"The rapid advancements in quantum computing have opened new possibilities for solving complex problems in various fields, including cryptography, optimization, and simulation. However, the current approaches to quantum computing often require a deep understanding of quantum hardware and low-level programming languages, making it difficult for software developers to create and deploy quantum services. This paper argues for the adaptation of Service-Oriented Computing principles to quantum computing, enabling a level of abstraction from hardware that allows developers to focus on application development. This will allow developers to create and deploy quantum services, similarly to how Service-Oriented Computing has made it easier to develop traditional software services. This paper presents a Continuous Deployment approach for quantum service development, which involves the generation and deployment of quantum services. To do that, we propose an extension of the OpenAPI specification to generate services implementing a quantum algorithm. To validate the feasibility of the proposed process, we use a variety of quantum algorithm implementations to test their generation and deployment of quantum services. © 2023 IEEE.",Continuous Deployment; OpenAPI; Quantum Computing; Quantum Services; Quantum Software Development,2023,International Conference on Quantum Software,Conference Paper,Proposal of solution,Software Engineering Operations
1,SCP0279,Agile meets quantum: a novel genetic algorithm model for predicting the success of quantum software development project,"Quantum software systems represent a new realm in software engineering, utilizing quantum bits (Qubits) and quantum gates (Qgates) to solve the complex problems more efficiently than classical counterparts. Agile software development approaches are considered to address many inherent challenges in quantum software development, but their effective integration remains unexplored. This study investigates key causes of challenges that could hinders the adoption of traditional agile approaches in quantum software projects and develop an Agile-Quantum Software Project Success Prediction Model (AQSSPM). Firstly, we identified 19 causes of challenging factors discussed in our previous study, which are potentially impacting agile-quantum project success. Secondly, a survey was conducted to collect expert opinions on these causes and applied Genetic Algorithm (GA) with Naive Bayes Classifier (NBC) and Logistic Regression (LR) to develop the AQSSPM. Utilizing GA with NBC, project success probability improved from 53.17 to 99.68%, with cost reductions from 0.463 to 0.403%. Similarly, GA with LR increased success rates from 55.52 to 98.99%, and costs decreased from 0.496 to 0.409% after 100 iterations. Both methods result showed a strong positive correlation (rs = 0.955) in causes ranking, with no significant difference between them (t = 1.195, p = 0.240 > 0.05). The AQSSPM highlights critical focus areas for efficiently and successfully implementing agile-quantum projects considering the cost factor of a particular project. © The Author(s) 2024.",Agile approaches; Prediction model; Quantum software development,2024,Automated Software Engineering,Article,Evaluation research,Software Engineering Management
1,SCP0024,Agile Practices for Quantum Software Development: Practitioners' Perspectives,"Quantum software engineering is an emerging genre of software engineering that exploit principles of quantum bits (Qubit) and quantum gates (Qgates) to solve complex computing problems effeciently than their classical counterparts. According to its proponents, agile software development practices have the potential to address many of the problems endemic to the development of quantum software. However, there is a dearth of evidence investigating whether agile practices are suitable for, and can be adopted by, software teams in the context of quantum software development. To address this lack, we conducted an empirical study to investigate the needs and challenges of using agile practices to develop quantum software. While our semi-structured interviews with 26 practitioners across 10 countries highlighted the applicability of agile practices in this domain, the interview findings also revealed new challenges impeding the effective incorporation of these practices. Our research findings provide a springboard for further contextualization and seamless integration of agile practices in quantum software engineering (QSE) to develop emerging and next generation of quantum software systems and application. © 2023 IEEE.",Agile Practices; Empirical Software Engineering; Quantum Software Engineering,2023,International Conference on Quantum Software,Conference Paper,Evaluation research,Software Engineering Process
1,WOS0121,An Adaptation of the UML Testing Profile for Quantum Software Testing,"This study explores how Classical Software Engineering, especially model-driven engineering in testing, can contribute to the improvement of Quantum Software Engineering (QSE). Adopting principles of agnosticism, it seeks to develop software engineering processes that are independent of any specific language or platform for quantum software. Currently, quantum software testing is considered an emerging area with multiple proposals focused on particular languages or platforms. This work proposes an extension of the UML Testing Profile 2.0 to model quantum software testing, allowing (i) the exploration of new concepts needed to specify these tests, (ii) the modelling of different types of tests during quantum software design, and (iii) the specification of tests independent of the execution language or platform. This approach aims to establish a more flexible and extensible basis for testing in QSE.",Quantum Software Engineering; Quantum Software Testing; UML Testing Profile; Software Testing,2024,Memoria Investigaciones en Ingeniería,Article,Proposal of solution,Software Engineering Models and Methods
1,SCP0082,An empirical study into the effects of transpilation on quantum circuit smells,"Quantum computing is a promising field that can solve complex problems beyond traditional computers’ capabilities. Developing high-quality quantum software applications, called quantum software engineering, has recently gained attention. However, quantum software development faces challenges related to code quality. A recent study found that many open-source quantum programs are affected by quantum-specific code smells, with long circuit being the most common. While the study provided relevant insights into the prevalence of code smells in quantum circuits, it did not explore the potential effect of transpilation, a necessary step for executing quantum computer programs, on the emergence of code smells. Indeed, transpilation might alter those characteristics employed to detect the presence of a smell on a circuit. To address this limitation, we present a new study investigating the impact of transpilation on quantum-specific code smells and how different target gate sets affect the results. We conducted experiments on 17 open-source quantum programs alongside a set of 100 synthetic circuits. We found that transpilation can significantly alter the metrics that are used to detect code smells, even into previously smell-free circuits, with the long circuit smell being the most susceptible to transpilation. Furthermore, the choice of the gate set significantly influences the presence and severity of code smells in transpiled circuits, highlighting the need for careful gate set selection to mitigate their impact. These findings have implications for circuit optimization and high-quality quantum software development. Further research is needed to understand the consequences of code smells and their potential impact on quantum computations, considering the characteristics and constraints of different gate sets and hardware platforms. © The Author(s) 2024.",Code smells; Empirical software engineering; Quantum computing; Quantum software engineering Quantum software quality,2024,Empirical Software Engineering,Article,Evaluation research,Software Quality
1,WOS0127,An Empirical Study on Code Coverage of Performance Testing,"Performance testing aims to ensure the operational efficiency of software systems. However, many factors influencing the efficacy and adoption of performance tests in practice are not yet fully understood. For instance, while code coverage is widely regarded as a key quality metric for evaluating the efficacy of functional testing suites, there is limited knowledge about the types and levels of coverage that performance tests specifically achieve. Another important factor, often perceived as a barrier to the broader adoption of performance tests yet remaining relatively unexplored, is their extended execution time. In this paper, we analyze the performance testing suites of 28 open-source systems to study (i) the magnitude of their code coverage, and (ii) their execution time. Our analysis shows that performance tests achieve significantly lower code coverage than functional tests, as expected, and it highlights a significant trade-off between coverage and execution time. Our results also suggest, in perspective, that automated test generation methods might not ensure affordable performance testing due to the associated time cost. This finding poses new challenges in the field of performance test generation.",Performance Testing; Code Coverage; JMH; Microbenchmarking,2024,International Conference on Evaluation and Assessment in Software Engineering,Conference Paper,Evaluation research,Software Testing
1,SCP0138,An Empirical Study on the Current Adoption of Quantum Programming,"Quantum computing is no longer just a scientific curiosity; it is rapidly evolving into a commercially viable technology that has the potential to surpass the limitations of classical computation. As a result of this transition, a new discipline known as quantum software engineering has emerged, which is needed to describe unique methodologies for developing large-scale quantum applications. In the pursue of building this new body of knowledge, we undertake a mining study to elicit the purposes quantum programming is being used for, and steer further research. © 2022 IEEE.",,2022,International Conference on Software Engineering,Conference Paper,Proposal of solution,Software Construction
