Round,ID,Authors,Institution,Type of Institution,Public/Private,Profit/Non-profit,Country
1,SCP0033,Giorgio Cortiana,E.ON Digital Technology GmbH,Company,Private,Profit,Germany
1,SCP0033,Marina Fernández-Campoamor,E.ON Digital Technology GmbH,Company,Private,Profit,Germany
1,SCP0047,Luis Jiménez-Navajas,aQuantum,Company,Private,Profit,Spain
1,SCP0047,Mario Piattini,aQuantum,Company,Private,Profit,Spain
1,SCP0047,Ricardo Pérez-Castillo,aQuantum,Company,Private,Profit,Spain
1,SCP0057,Jose Luis Hevia  ,aQuantum,Company,Private,Profit,Spain
1,SCP0057,Mario Piattini  ,aQuantum,Company,Private,Profit,Spain
1,SCP0068,Krysta Svore,Microsoft Research,Company,Private,Profit,United States
1,SCP0068,Matthias Troyer,Microsoft Research,Company,Private,Profit,United States
1,SCP0071,Carmelo R. Cartiere,Nextsense Srl,Company,Private,Profit,Italy
1,SCP0073,Jose Luis Hevia Oliver,aQuantum,Company,Private,Profit,Spain
1,SCP0076,Guido Petersen,aQuantum,Company,Private,Profit,Spain
1,SCP0076,Jose Luis Hevia,aQuantum,Company,Private,Profit,Spain
1,SCP0084,Wolfgang Mauerer,Siemens AG,Company,Private,Profit,Germany
1,SCP0106,Mark Fingerhuth  ,ProteinQure Inc.,Company,Private,Profit,Canada
1,SCP0106,Tomáš Babej  ,ProteinQure Inc.,Company,Private,Profit,Canada
1,SCP0116,Valtteri Lahtinen,Quanscient,Company,Private,Profit,Finland
1,SCP0142,Shinobu Saito,NTT Computer and Data Science Laboratories,Company,Private,Profit,Japan
1,SCP0157,Jean Paul Latyr Faye,CMC Microsystems,Company,Private,Non-profit,Canada
1,SCP0157,Udson C. Mendes,CMC Microsystems,Company,Private,Non-profit,Canada
1,SCP0183,Mariia Mykhailova,Microsoft Quantum,Company,Private,Profit,United States
1,SCP0183,Mathias Soeken,Microsoft Quantum,Company,Private,Profit,United States
1,SCP0199,Robert J. Hall,AT&T Labs Research,Company,Private,Profit,United States
1,SCP0225,Ana Díaz Muñoz,AQCLab Software Quality,Company,Private,Profit,Spain
1,SCP0225,Moisés Rodríguez Monje,AQCLab Software Quality,Company,Private,Profit,Spain
1,SCP0230,Greg Stager,IBM,Company,Private,Profit,Canada
1,SCP0230,John Peck,IBM,Company,Private,Profit,United States
1,SCP0230,Michael Gray,IBM,Company,Private,Profit,Australia
1,SCP0230,Walid Rjaibi,IBM,Company,Private,Profit,Canada
1,SCP0260,Florian Krebs,JOANNEUM RESEARCH,Company,Public-private,Non-profit,Austria
1,SCP0260,Hermann Fürntratt,JOANNEUM RESEARCH,Company,Public-private,Non-profit,Austria
1,SCP0260,Herwig Zeiner,JOANNEUM RESEARCH,Company,Public-private,Non-profit,Austria
1,SCP0260,Roland Unterberger,JOANNEUM RESEARCH,Company,Public-private,Non-profit,Austria
1,SCP0261,Luis Jiménez-Navajas,aQuantum,Company,Private,Profit,Spain
1,SCP0261,Ricardo Pérez-Castillo,aQuantum,Company,Private,Profit,Spain
1,SCP0279,Valtteri Lahtinen,Quanscient,Company,Private,Profit,Finland
1,SCP0307,Jingwei Chen,Qudoor Technologies Inc.,Company,Private,Profit,China
1,SCP0310,Michele Marchesi,Netservice spa,Company,Private,Profit,Italy
1,SCP0387,Benjamin Weps,Jena Optronik GmbH,Company,Private,Profit,Germany
1,SCP0398,Sarah Marshall,Microsoft Quantum,Company,Private,Profit,United States
1,SCP0482,Corey O'Meara,E.ON Digital Technology GmbH,Company,Private,Profit,Germany
1,SCP0482,Giorgio Cortiana,E.ON Digital Technology GmbH,Company,Private,Profit,Germany
1,SCP0482,Juan Bernabe-Moreno,E.ON Digital Technology GmbH,Company,Private,Profit,Germany
1,SCP0482,Raul Berganza Gomez,E.ON Digital Technology GmbH,Company,Private,Profit,Germany
1,WOS0348,Masaomi Yamaguchi,Fujitsu Ltd,Company,Private,Profit,Japan
1,WOS1192,Hadi Salloum,QDeep,Company,Private,Profit,Russia
1,WOS1192,Mohamad Nour Shahin,QDeep,Company,Private,Profit,Russia
1,WOS1192,Suleiman Karim Eddin,QDeep,Company,Private,Profit,Russia
2,R2ACM1014,Li Zhou,"Institute of Software, Chinese Academy of Sciences",Government/National Research Organization,Public,Non-profit,China
2,R2ACM174,Li Zhou,"Institute of Software, Chinese Academy of Sciences",Government/National Research Organization,Public,Non-profit,China
2,R2ACM209,Li Zhou,"Institute of Software, Chinese Academy of Sciences",Government/National Research Organization,Public,Non-profit,China
2,R2ACM209,Yingte Xu,"Institute of Software, Chinese Academy of Sciences",Government/National Research Organization,Public,Non-profit,China
2,R2ACM393,Li Zhou,"Institute of Software, Chinese Academy of Sciences",Government/National Research Organization,Public,Non-profit,China
2,R2ACM393,Mengyu Zhao,"Institute of Software, Chinese Academy of Sciences",Government/National Research Organization,Public,Non-profit,China
2,R2ACM393,Qifan Huang,"Institute of Software, Chinese Academy of Sciences",Government/National Research Organization,Public,Non-profit,China
2,R2ACM681,Li Zhou,"Institute of Software, Chinese Academy of Sciences",Government/National Research Organization,Public,Non-profit,China
2,R2ACM825,Fuyuki Ishikawa,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
2,R2IEEE1052,Michael Felderer,German Aerospace Center,Government/National Research Organization,Public,Non-profit,Germany
2,R2IEEE718,Chao Wang,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
2,R2IEEE718,Jianxin Ge,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
2,R2IEEE718,Lizhi Cai,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
2,R2IEEE718,Xuan Mao,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
2,R2IEEE718,Zijie Huang,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
2,R2SCP1197,Chao Wang,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
2,R2SCP1197,Jianxin Ge,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
2,R2SCP1197,Lizhi Cai,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
2,R2SCP1197,Wuxu Wang,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
2,R2SCP1197,Xuan Mao,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
2,R2SCP1197,Zijie Huang,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
2,R2SCP420,Jake Muff,VTT Technical Research Centre of Finland,Government/National Research Organization,Public,Non-profit,Finland
2,R2SCP426,Didar Zowghi,Commonwealth Scientific and Industrial Research Organisation,Government/National Research Organization,Public,Non-profit,Australia
2,R2SCP426,Muneera Bano,Commonwealth Scientific and Industrial Research Organisation,Government/National Research Organization,Public,Non-profit,Australia
2,R2WOS896,Paolo Arcaini,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
1,ACM0007,Paolo Arcaini,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
1,SCP0011,Paolo Arcaini,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
1,SCP0066,Mingsheng Ying,Chinese Academy of Sciences,Government/National Research Organization,Public,Non-profit,China
1,SCP0066,Nengkun Yu,Chinese Academy of Sciences,Government/National Research Organization,Public,Non-profit,China
1,SCP0066,Runyao Duan,Chinese Academy of Sciences,Government/National Research Organization,Public,Non-profit,China
1,SCP0066,Yuan Feng,Chinese Academy of Sciences,Government/National Research Organization,Public,Non-profit,China
1,SCP0086,Muhammad Usman,Commonwealth Scientific and Industrial Research Organisation,Government/National Research Organization,Public,Non-profit,Australia
1,SCP0111,Paolo Arcaini,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
1,SCP0142,Fuyuki Ishikawa,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
1,SCP0228,Mingsheng Ying,Chinese Academy of Sciences,Government/National Research Organization,Public,Non-profit,China
1,SCP0279,Marko Paavola,VTT Technical Research Centre of Finland,Government/National Research Organization,Public,Non-profit,Finland
1,SCP0307,Chao Wang,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
1,SCP0307,JianXin Ge,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
1,SCP0307,XueZhong Wu,Shanghai Development Center of Computer Software Technology,Government/National Research Organization,Public,Non-profit,China
1,SCP0342,Paolo Arcaini,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
1,SCP0387,Andreas Gerndt,German Aerospace Center,Government/National Research Organization,Public,Non-profit,Germany
1,SCP0387,Benjamin Weps,German Aerospace Center,Government/National Research Organization,Public,Non-profit,Germany
1,SCP0387,Daniel Lüdtke,German Aerospace Center,Government/National Research Organization,Public,Non-profit,Germany
1,SCP0387,Olaf Maibaum,German Aerospace Center,Government/National Research Organization,Public,Non-profit,Germany
1,SCP0387,Tobias Franz,German Aerospace Center,Government/National Research Organization,Public,Non-profit,Germany
1,SCP0609,Paolo Arcaini,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
1,WOS0157,Paolo Arcaini,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
1,WOS0348,Nobukazu Yoshioka,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
1,WOS0916,Paolo Arcaini,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
1,WOS0956,Paolo Arcaini,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
1,WOS1249,Paolo Arcaini,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
1,WOS1251,Paolo Arcaini,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,Japan
1,WOS1255,Fuyuki Ishikawa,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,China
1,WOS1255,Paolo Arcaini,National Institute of Informatics,Government/National Research Organization,Public,Non-profit,China
1,WOS1388,Mingsheng Ying,Chinese Academy of Sciences,Government/National Research Organization,Public,Non-profit,China
1,WOS1516,Peixun Long,Chinese Academy of Sciences,Government/National Research Organization,Public,Non-profit,China
1,SCP0106,Peter Wittek,Creative Destruction Lab,Innovation Hub,Private,Non-profit,Canada
1,SCP0038,Luis S. Barbosa,International Iberian Nanotechnology Laboratory,Intergovernmental Research Organization,Public-private,Non-profit,Portugal
2,R2ACM681,Li Zhou,"State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences",National Laboratory,Public,Non-profit,China
2,R2SCP841,Scott Pakin,Los Alamos National Laboratory,National Laboratory,Public,Non-profit,United States
1,SCP0354,Alexander J. McCaskey,Oak Ridge National Laboratory,National Laboratory,Public,Non-profit,United States
1,SCP0354,Thien Nguyen,Oak Ridge National Laboratory,National Laboratory,Public,Non-profit,United States
1,SCP0374,Dirk Krucker,Deutsches Elektronen-Synchrotron,National Laboratory,Public,Non-profit,Germany
1,SCP0374,Karl Jansen,Deutsches Elektronen-Synchrotron,National Laboratory,Public,Non-profit,Germany
1,SCP0374,Kerstin Borras,Deutsches Elektronen-Synchrotron,National Laboratory,Public,Non-profit,Germany
1,SCP0525,Fuchen Zhu,National Laboratory for Modern Communications,National Laboratory,Public,Non-profit,China
2,R2ACM1014,Yingte Xu,Max Planck Institute for Security and Privacy (MPI-SP),Non-profit Research Institute,Private,Non-profit,Germany
2,R2ACM209,Gilles Barthe,IMDEA Software Institute,Non-profit Research Institute,Private,Non-profit,Spain
2,R2ACM459,Christoph Laaber,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
2,R2ACM459,Noah H. Oldfield,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
2,R2ACM459,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
2,R2ACM459,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
2,R2ACM681,Gilles Barthe,IMDEA Software Institute,Non-profit Research Institute,Private,Non-profit,Spain
2,R2ACM681,Gilles Barthe,Max Planck Institute for Security and Privacy,Non-profit Research Institute,Private,Non-profit,Germany
2,R2ACM765,Michael Kasper,Fraunhofer Singapore,Non-profit Research Institute,Private,Non-profit,Singapore
2,R2IEEE207,Tingting Li,Shanghai Qi Zhi Institute,Non-profit Research Institute,Private,Non-profit,China
2,R2IEEE349,Jonas Klamroth,FZI Research Center for Information Technology,Non-profit Research Institute,Private,Non-profit,Germany
2,R2IEEE349,Max Scheerer,FZI Research Center for Information Technology,Non-profit Research Institute,Private,Non-profit,Germany
2,R2IEEE349,Oliver Denninger,FZI Research Center for Information Technology,Non-profit Research Institute,Private,Non-profit,Germany
2,R2SCP426,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
2,R2WOS896,Eñaut Mendiluze,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
2,R2WOS896,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
2,R2WOS896,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,ACM0007,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0011,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0062,Colin Kai-Uwe Becker,Fraunhofer Institute for Open Communication Systems,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0062,Ilie-Daniel Gheorghe-Pop,Fraunhofer Institute for Open Communication Systems,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0062,Nikolay Tcholtchev,Fraunhofer Institute for Open Communication Systems,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0091,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0091,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0106,Peter Wittek  ,Perimeter Institute for Theoretical Physics,Non-profit Research Institute,Private,Non-profit,Canada
1,SCP0106,Peter Wittek  ,Vector Institute for Artificial Intelligence,Non-profit Research Institute,Private,Non-profit,Canada
1,SCP0111,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0121,André Souto,Telecommunications Institute,Non-profit Research Institute,Public-private,Non-profit,Portugal
1,SCP0169,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0169,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0174,Florian Knable,Fraunhofer Institute for Industrial Engineering IAO,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0174,Jonas Klamroth,FZI Research Center for Information Technology,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0174,Max Scheerer,FZI Research Center for Information Technology,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0174,Oliver Denninger,FZI Research Center for Information Technology,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0200,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0200,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0296,Alexander Küchler,Fraunhofer AISEC,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0296,Christian Banse,Fraunhofer AISEC,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0296,Maximilian Kaul,Fraunhofer AISEC,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0326,Ilie-Daniel Gheorghe-Pop,Fraunhofer Institute for Open Communication Systems,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0326,Manfred Hauswirth,Fraunhofer Institute for Open Communication Systems,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0326,Nikolay Tcholtchev,Fraunhofer Institute for Open Communication Systems,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0326,Tom Ritter,Fraunhofer Institute for Open Communication Systems,Non-profit Research Institute,Private,Non-profit,Germany
1,SCP0342,Asmar Muqeet,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0342,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0342,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0342,Xinyi Wang,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0609,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0609,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,SCP0609,Xinyi Wang,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS0157,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS0157,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS0916,Asmar Muqeet,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS0916,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS0916,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS0956,Eñaut Mendiluze,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS0956,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS0956,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS1249,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS1249,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS1249,Xinyi Wang,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS1251,Shaukat Ali,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS1251,Tao Yue,Simula Research Laboratory,Non-profit Research Institute,Public,Non-profit,Norway
1,WOS1192,Badee Salloum,Syrian Computer Society (SCASE),Professional Society,Private,Non-profit,Syria
1,SCP0123,Enrique Moguel,Computing and Advanced Technologies Foundation of Extremadura,Innovation Center,Private,Non-profit,Spain
1,SCP0123,Juan M. Murillo,Computing and Advanced Technologies Foundation of Extremadura,Innovation Center,Private,Non-profit,Spain
2,R2ACM101,Avner Bensoussan,King's College London,University,Public,Non-profit,United Kingdom
2,R2ACM101,Gunel Jahangirova,King's College London,University,Public,Non-profit,United Kingdom
2,R2ACM101,Mohammadreza Mousavi,King's College London,University,Public,Non-profit,United Kingdom
2,R2ACM1014,Xiaoquan Xu,Chinese Academy of Sciences and University of Chinese Academy of Sciences,University,Public,Non-profit,China
2,R2ACM1014,Yuan Feng,Tsinghua University,University,Public,Non-profit,China
2,R2ACM1025,Álvaro M. Aparicio-Morales,University of Extremadura,University,Public,Non-profit,Spain
2,R2ACM1025,Enrique Moguel,University of Extremadura,University,Public,Non-profit,Spain
2,R2ACM1025,Jaime Alvarado-Valiente,University of Extremadura,University,Public,Non-profit,Spain
2,R2ACM1025,Javier Romero-Alvarez,University of Extremadura,University,Public,Non-profit,Spain
2,R2ACM1025,Jose Garcia-Alonso,University of Extremadura,University,Public,Non-profit,Spain
2,R2ACM1025,Juan M. Murillo,University of Extremadura,University,Public,Non-profit,Spain
2,R2ACM1025,Alessandro Bocci,University of Pisa,University,Public,Non-profit,Italy
2,R2ACM1025,Antonio Brogi,University of Pisa,University,Public,Non-profit,Italy
2,R2ACM1025,Giuseppe Bisicchia,University of Pisa,University,Public,Non-profit,Italy
2,R2ACM1025,Adrián Romero-Flores,University of Seville,University,Public,Non-profit,Spain
2,R2ACM1025,Alfonso E. Marquez-Chamorro,University of Seville,University,Public,Non-profit,Spain
2,R2ACM1025,Antonio Ruiz-Cortés,University of Seville,University,Public,Non-profit,Spain
2,R2ACM1025,Francisco Javier Cavero,University of Seville,University,Public,Non-profit,Spain
2,R2ACM1025,José Antonio Parejo,University of Seville,University,Public,Non-profit,Spain
2,R2ACM1066,Avner Bensoussan,King's College London,University,Public,Non-profit,United Kingdom
2,R2ACM1066,Connor Lenihan,King's College London,University,Public,Non-profit,United Kingdom
2,R2ACM1066,Elena Chachkarova,King's College London,University,Public,Non-profit,United Kingdom
2,R2ACM1066,Karine Even-Mendoza,King's College London,University,Public,Non-profit,United Kingdom
2,R2ACM1066,Sophie Fortz,King's College London,University,Public,Non-profit,United Kingdom
2,R2ACM1066,Vasileios Klimis,Queen Mary University of London,University,Public,Non-profit,United Kingdom
2,R2ACM1087,Antonio Curci,University of Bari Aldo Moro,University,Public,Non-profit,Italy
2,R2ACM1087,Antonio Lopopolo,University of Bari Aldo Moro,University,Public,Non-profit,Italy
2,R2ACM1087,Antonio Piccinno,University of Bari Aldo Moro,University,Public,Non-profit,Italy
2,R2ACM1087,Danilo Caivano,University of Bari Aldo Moro,University,Public,Non-profit,Italy
2,R2ACM1087,Miriana Calvano,University of Bari Aldo Moro,University,Public,Non-profit,Italy
2,R2ACM1087,Vita Santa Barletta,University of Bari Aldo Moro,University,Public,Non-profit,Italy
2,R2ACM115,Avner Bensoussan,King's College London,University,Public,Non-profit,United Kingdom
2,R2ACM115,Connor Lenihan,King's College London,University,Public,Non-profit,United Kingdom
2,R2ACM115,Elena Chachkarova,King's College London,University,Public,Non-profit,United Kingdom
2,R2ACM115,Karine Even-Mendoza,King's College London,University,Public,Non-profit,United Kingdom
2,R2ACM115,Sophie Fortz,King's College London,University,Public,Non-profit,United Kingdom
2,R2ACM1150,Higor Amario de Souza,São Paulo State University (UNESP),University,Public,Non-profit,Brazil
2,R2ACM1150,Marcos Lordello Chaim,University of São Paulo,University,Public,Non-profit,Brazil
2,R2ACM1150,Neilson Carlos Leite Ramalho,University of São Paulo,University,Public,Non-profit,Brazil
2,R2ACM1172,Ivona Brandic,TU Wien,University,Public,Non-profit,Austria
2,R2ACM1172,Jürgen Cito,TU Wien,University,Public,Non-profit,Austria
2,R2ACM1172,Vincenzo De Maio,TU Wien,University,Public,Non-profit,Austria
2,R2ACM1172,Ewa Deelman,University of Southern California,University,Private,Non-profit,United States
2,R2ACM1192,Kaitlin N Smith,Northwestern University,University,Private,Non-profit,United States
2,R2ACM1192,Mingyoung Jessica Jeng,Northwestern University,University,Private,Non-profit,United States
2,R2ACM1192,Hyeok Kim,University of Washington,University,Public,Non-profit,United States
2,R2ACM137,Muhammad Azeem Akbar,LUT University,University,Public,Non-profit,Finland
2,R2ACM137,Arif Ali Khan,University of Oulu,University,Public,Non-profit,Finland
2,R2ACM137,Davide Taibi,University of Oulu,University,Public,Non-profit,Finland
2,R2ACM174,Bonan Su,Tsinghua University,University,Public,Non-profit,China
2,R2ACM174,Yuan Feng,Tsinghua University,University,Public,Non-profit,China
2,R2ACM174,Mingsheng Ying,University of Technology Sydney,University,Public,Non-profit,Australia
2,R2ACM393,Mengyu Zhao,University of Chinese Academy of Sciences,University,Public,Non-profit,China
2,R2ACM393,Qifan Huang,University of Chinese Academy of Sciences,University,Public,Non-profit,China
2,R2ACM393,Wang Fang,University of Edinburgh,University,Public,Non-profit,United Kingdom
